freq (Hz),Vline (V),Vout (V),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)"
3.581,1.00E-02,1.31E-05,-57.67
3.589,1.00E-02,1.31E-05,-57.67
3.597,1.00E-02,1.31E-05,-57.67
3.606,1.00E-02,1.31E-05,-57.67
3.614,1.00E-02,1.31E-05,-57.67
3.622,1.00E-02,1.31E-05,-57.67
3.631,1.00E-02,1.31E-05,-57.67
3.639,1.00E-02,1.31E-05,-57.67
3.648,1.00E-02,1.31E-05,-57.67
3.656,1.00E-02,1.31E-05,-57.67
3.664,1.00E-02,1.31E-05,-57.67
3.673,1.00E-02,1.31E-05,-57.67
3.681,1.00E-02,1.31E-05,-57.67
3.69,1.00E-02,1.31E-05,-57.67
3.698,1.00E-02,1.31E-05,-57.67
3.707,1.00E-02,1.31E-05,-57.67
3.715,1.00E-02,1.31E-05,-57.67
3.724,1.00E-02,1.31E-05,-57.67
3.733,1.00E-02,1.31E-05,-57.67
3.741,1.00E-02,1.31E-05,-57.67
3.75,1.00E-02,1.31E-05,-57.67
3.758,1.00E-02,1.31E-05,-57.67
3.767,1.00E-02,1.31E-05,-57.67
3.776,1.00E-02,1.31E-05,-57.67
3.784,1.00E-02,1.31E-05,-57.67
3.793,1.00E-02,1.31E-05,-57.67
3.802,1.00E-02,1.31E-05,-57.67
3.811,1.00E-02,1.31E-05,-57.67
3.819,1.00E-02,1.31E-05,-57.67
3.828,1.00E-02,1.31E-05,-57.67
3.837,1.00E-02,1.31E-05,-57.67
3.846,1.00E-02,1.31E-05,-57.67
3.855,1.00E-02,1.31E-05,-57.67
3.864,1.00E-02,1.31E-05,-57.67
3.873,1.00E-02,1.31E-05,-57.67
3.882,1.00E-02,1.31E-05,-57.67
3.89,1.00E-02,1.31E-05,-57.67
3.899,1.00E-02,1.31E-05,-57.67
3.908,1.00E-02,1.31E-05,-57.67
3.917,1.00E-02,1.31E-05,-57.67
3.926,1.00E-02,1.31E-05,-57.67
3.936,1.00E-02,1.31E-05,-57.67
3.945,1.00E-02,1.31E-05,-57.67
3.954,1.00E-02,1.31E-05,-57.67
3.963,1.00E-02,1.31E-05,-57.67
