time (s),/Vline (V),/Vout (V)
438.3E-3,1.391,998.8E-3
439.2E-3,1.395,999.0E-3
440.0E-3,1.400,998.8E-3
440.8E-3,1.405,999.0E-3
441.7E-3,1.409,998.8E-3
442.5E-3,1.410,999.0E-3
443.3E-3,1.409,998.8E-3
444.2E-3,1.405,999.0E-3
445.0E-3,1.400,998.8E-3
445.8E-3,1.395,999.0E-3
446.7E-3,1.391,998.8E-3
447.5E-3,1.390,999.0E-3
448.3E-3,1.391,998.8E-3
449.2E-3,1.395,999.0E-3
450.0E-3,1.400,998.8E-3
450.8E-3,1.405,999.0E-3
451.7E-3,1.409,998.8E-3
452.5E-3,1.410,999.0E-3
453.3E-3,1.409,998.8E-3
454.2E-3,1.405,999.0E-3
455.0E-3,1.400,998.8E-3
455.8E-3,1.395,999.0E-3
456.7E-3,1.391,998.8E-3
457.5E-3,1.390,999.0E-3
458.3E-3,1.391,998.8E-3
459.2E-3,1.395,999.0E-3
460.0E-3,1.400,998.8E-3
460.8E-3,1.405,999.0E-3
461.7E-3,1.409,998.8E-3
462.5E-3,1.410,999.0E-3
463.3E-3,1.409,998.8E-3
464.2E-3,1.405,999.0E-3
465.0E-3,1.400,998.8E-3
465.8E-3,1.395,999.0E-3
466.7E-3,1.391,998.8E-3
467.5E-3,1.390,999.0E-3
468.3E-3,1.391,998.8E-3
469.2E-3,1.395,999.0E-3
470.0E-3,1.400,998.8E-3
470.8E-3,1.405,999.0E-3
471.7E-3,1.409,998.8E-3
472.5E-3,1.410,999.0E-3
473.3E-3,1.409,998.8E-3
474.2E-3,1.405,999.0E-3
475.0E-3,1.400,998.8E-3
475.8E-3,1.395,999.0E-3
476.7E-3,1.391,998.8E-3
477.5E-3,1.390,999.0E-3
478.3E-3,1.391,998.8E-3
479.2E-3,1.395,999.0E-3
480.0E-3,1.400,998.8E-3
480.8E-3,1.405,999.0E-3
481.7E-3,1.409,998.8E-3
482.5E-3,1.410,999.0E-3
483.3E-3,1.409,998.8E-3
484.2E-3,1.405,999.0E-3
485.0E-3,1.400,998.8E-3
485.8E-3,1.395,999.0E-3
486.7E-3,1.391,998.8E-3
487.5E-3,1.390,999.0E-3
488.3E-3,1.391,998.8E-3
489.2E-3,1.395,999.0E-3
490.0E-3,1.400,998.8E-3
490.8E-3,1.405,999.0E-3
491.7E-3,1.409,998.8E-3
492.5E-3,1.410,999.0E-3
493.3E-3,1.409,998.8E-3
494.2E-3,1.405,999.0E-3
495.0E-3,1.400,998.8E-3
495.8E-3,1.395,999.0E-3
496.7E-3,1.391,998.8E-3
497.5E-3,1.390,999.0E-3
498.3E-3,1.391,998.8E-3
499.2E-3,1.395,999.0E-3
500.0E-3,1.400,998.8E-3
500.8E-3,1.405,999.0E-3
501.7E-3,1.409,998.8E-3
502.5E-3,1.410,999.0E-3
503.3E-3,1.409,998.8E-3
504.2E-3,1.405,999.0E-3
505.0E-3,1.400,998.8E-3
505.8E-3,1.395,999.0E-3
506.7E-3,1.391,998.8E-3
507.5E-3,1.390,999.0E-3
508.3E-3,1.391,998.8E-3
509.2E-3,1.395,999.0E-3
510.0E-3,1.400,998.8E-3
510.8E-3,1.405,999.0E-3
511.7E-3,1.409,998.8E-3
512.5E-3,1.410,999.0E-3
513.3E-3,1.409,998.8E-3
514.2E-3,1.405,999.0E-3
515.0E-3,1.400,998.8E-3
515.8E-3,1.395,999.0E-3
516.7E-3,1.391,998.8E-3
517.5E-3,1.390,999.0E-3
518.3E-3,1.391,998.8E-3
519.2E-3,1.395,999.0E-3
520.0E-3,1.400,998.8E-3
520.8E-3,1.405,999.0E-3
521.7E-3,1.409,998.8E-3
522.5E-3,1.410,999.0E-3
523.3E-3,1.409,998.8E-3
524.2E-3,1.405,999.0E-3
525.0E-3,1.400,998.8E-3
525.8E-3,1.395,999.0E-3
526.7E-3,1.391,998.8E-3
527.5E-3,1.390,999.0E-3
528.3E-3,1.391,998.8E-3
529.2E-3,1.395,999.0E-3
530.0E-3,1.400,998.8E-3
530.8E-3,1.405,999.0E-3
531.7E-3,1.409,998.8E-3
532.5E-3,1.410,999.0E-3
533.3E-3,1.409,998.8E-3
534.2E-3,1.405,999.0E-3
535.0E-3,1.400,998.8E-3
535.8E-3,1.395,999.0E-3
536.7E-3,1.391,998.8E-3
537.5E-3,1.390,999.0E-3
538.3E-3,1.391,998.8E-3
539.2E-3,1.395,999.0E-3
540.0E-3,1.400,998.8E-3
540.8E-3,1.405,999.0E-3
541.7E-3,1.409,998.8E-3
542.5E-3,1.410,999.0E-3
543.3E-3,1.409,998.8E-3
544.2E-3,1.405,999.0E-3
545.0E-3,1.400,998.8E-3
545.8E-3,1.395,999.0E-3
546.7E-3,1.391,998.8E-3
547.5E-3,1.390,999.0E-3
548.3E-3,1.391,998.8E-3
549.2E-3,1.395,999.0E-3
550.0E-3,1.400,998.8E-3
550.8E-3,1.405,999.0E-3
551.7E-3,1.409,998.8E-3
552.5E-3,1.410,999.0E-3
553.3E-3,1.409,998.8E-3
554.2E-3,1.405,999.0E-3
555.0E-3,1.400,998.8E-3
555.8E-3,1.395,999.0E-3
556.7E-3,1.391,998.8E-3
557.5E-3,1.390,999.0E-3
558.3E-3,1.391,998.8E-3
559.2E-3,1.395,999.0E-3
560.0E-3,1.400,998.8E-3
560.8E-3,1.405,999.0E-3
561.7E-3,1.409,998.8E-3
562.5E-3,1.410,999.0E-3
563.3E-3,1.409,998.8E-3
564.2E-3,1.405,999.0E-3
565.0E-3,1.400,998.8E-3
565.8E-3,1.395,999.0E-3
566.7E-3,1.391,998.8E-3
567.5E-3,1.390,999.0E-3
568.3E-3,1.391,998.8E-3
569.2E-3,1.395,999.0E-3
570.0E-3,1.400,998.8E-3
570.8E-3,1.405,999.0E-3
571.7E-3,1.409,998.8E-3
572.5E-3,1.410,999.0E-3
573.3E-3,1.409,998.8E-3
574.2E-3,1.405,999.0E-3
575.0E-3,1.400,998.8E-3
575.8E-3,1.395,999.0E-3
576.7E-3,1.391,998.8E-3
577.5E-3,1.390,998.9E-3
578.3E-3,1.391,998.8E-3
579.2E-3,1.395,999.0E-3
580.0E-3,1.400,998.8E-3
580.8E-3,1.405,999.0E-3
581.7E-3,1.409,998.8E-3
582.5E-3,1.410,999.0E-3
583.3E-3,1.409,998.8E-3
584.2E-3,1.405,999.0E-3
585.0E-3,1.400,998.8E-3
585.8E-3,1.395,999.0E-3
586.7E-3,1.391,998.8E-3
587.5E-3,1.390,998.9E-3
588.3E-3,1.391,998.8E-3
589.2E-3,1.395,999.0E-3
590.0E-3,1.400,998.8E-3
590.8E-3,1.405,999.0E-3
591.7E-3,1.409,998.8E-3
592.5E-3,1.410,999.0E-3
