freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
2.023,-93.14,220.4E-9,10.00E-3
2.028,-93.14,220.4E-9,10.00E-3
2.032,-93.14,220.4E-9,10.00E-3
2.037,-93.14,220.4E-9,10.00E-3
2.042,-93.14,220.4E-9,10.00E-3
2.046,-93.14,220.4E-9,10.00E-3
2.051,-93.14,220.4E-9,10.00E-3
2.056,-93.14,220.4E-9,10.00E-3
2.061,-93.14,220.4E-9,10.00E-3
2.065,-93.14,220.4E-9,10.00E-3
2.070,-93.14,220.4E-9,10.00E-3
2.075,-93.14,220.4E-9,10.00E-3
2.080,-93.14,220.4E-9,10.00E-3
2.084,-93.14,220.4E-9,10.00E-3
2.089,-93.14,220.4E-9,10.00E-3
2.094,-93.14,220.4E-9,10.00E-3
2.099,-93.14,220.4E-9,10.00E-3
2.104,-93.14,220.4E-9,10.00E-3
2.109,-93.14,220.4E-9,10.00E-3
2.113,-93.14,220.4E-9,10.00E-3
2.118,-93.14,220.4E-9,10.00E-3
2.123,-93.14,220.4E-9,10.00E-3
2.128,-93.14,220.4E-9,10.00E-3
2.133,-93.14,220.4E-9,10.00E-3
2.138,-93.14,220.4E-9,10.00E-3
2.143,-93.14,220.4E-9,10.00E-3
2.148,-93.14,220.4E-9,10.00E-3
2.153,-93.14,220.4E-9,10.00E-3
2.158,-93.14,220.4E-9,10.00E-3
2.163,-93.14,220.4E-9,10.00E-3
2.168,-93.14,220.4E-9,10.00E-3
2.173,-93.14,220.4E-9,10.00E-3
2.178,-93.14,220.4E-9,10.00E-3
2.183,-93.14,220.4E-9,10.00E-3
2.188,-93.14,220.4E-9,10.00E-3
2.193,-93.14,220.4E-9,10.00E-3
2.198,-93.14,220.4E-9,10.00E-3
2.203,-93.14,220.4E-9,10.00E-3
2.208,-93.14,220.4E-9,10.00E-3
2.213,-93.14,220.4E-9,10.00E-3
2.218,-93.14,220.4E-9,10.00E-3
2.223,-93.14,220.4E-9,10.00E-3
2.228,-93.14,220.4E-9,10.00E-3
2.234,-93.14,220.4E-9,10.00E-3
2.239,-93.14,220.4E-9,10.00E-3
2.244,-93.14,220.4E-9,10.00E-3
